Label,Class
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
0,Noise
0,Noise
1,Mitosis
1,Mitosis
0,Noise
1,Mitosis
1,Mitosis
