Label,Class,File reference
0,Non-mitotic,Vid_000.mp4
0,Non-mitotic,Vid_001.mp4
0,Non-mitotic,Vid_002.mp4
0,Non-mitotic,Vid_003.mp4
0,Non-mitotic,Vid_004.mp4
0,Non-mitotic,Vid_005.mp4
0,Non-mitotic,Vid_006.mp4
0,Non-mitotic,Vid_007.mp4
0,Non-mitotic,Vid_008.mp4
0,Non-mitotic,Vid_009.mp4
0,Non-mitotic,Vid_010.mp4
1,Mitotic,Vid_011.mp4
1,Mitotic,Vid_012.mp4
1,Mitotic,Vid_013.mp4
1,Mitotic,Vid_014.mp4
1,Mitotic,Vid_015.mp4
0,Non-mitotic,Vid_016.mp4
1,Mitotic,Vid_017.mp4
1,Mitotic,Vid_018.mp4
1,Mitotic,Vid_019.mp4
1,Mitotic,Vid_020.mp4
0,Non-mitotic,Vid_021.mp4
1,Mitotic,Vid_022.mp4
1,Mitotic,Vid_023.mp4
1,Mitotic,Vid_024.mp4
0,Non-mitotic,Vid_025.mp4
1,Mitotic,Vid_026.mp4
1,Mitotic,Vid_027.mp4
1,Mitotic,Vid_028.mp4
1,Mitotic,Vid_029.mp4
1,Mitotic,Vid_030.mp4
1,Mitotic,Vid_031.mp4
1,Mitotic,Vid_032.mp4
0,Non-mitotic,Vid_033.mp4
0,Non-mitotic,Vid_034.mp4
1,Mitotic,Vid_035.mp4
1,Mitotic,Vid_036.mp4
1,Mitotic,Vid_037.mp4
1,Mitotic,Vid_038.mp4
1,Mitotic,Vid_039.mp4
1,Mitotic,Vid_040.mp4
1,Mitotic,Vid_041.mp4
1,Mitotic,Vid_042.mp4
1,Mitotic,Vid_043.mp4
1,Mitotic,Vid_044.mp4
1,Mitotic,Vid_045.mp4
1,Mitotic,Vid_046.mp4
1,Mitotic,Vid_047.mp4
1,Mitotic,Vid_048.mp4
1,Mitotic,Vid_049.mp4
1,Mitotic,Vid_050.mp4
0,Non-mitotic,Vid_051.mp4
1,Mitotic,Vid_052.mp4
1,Mitotic,Vid_053.mp4
0,Non-mitotic,Vid_054.mp4
1,Mitotic,Vid_055.mp4
1,Mitotic,Vid_056.mp4
1,Mitotic,Vid_057.mp4
1,Mitotic,Vid_058.mp4
1,Mitotic,Vid_059.mp4
1,Mitotic,Vid_060.mp4
1,Mitotic,Vid_061.mp4
1,Mitotic,Vid_062.mp4
1,Mitotic,Vid_063.mp4
1,Mitotic,Vid_064.mp4
0,Non-mitotic,Vid_065.mp4
0,Non-mitotic,Vid_066.mp4
1,Mitotic,Vid_067.mp4
0,Non-mitotic,Vid_068.mp4
0,Non-mitotic,Vid_069.mp4
0,Non-mitotic,Vid_070.mp4
1,Mitotic,Vid_071.mp4
0,Non-mitotic,Vid_072.mp4
0,Non-mitotic,Vid_073.mp4
1,Mitotic,Vid_074.mp4
0,Non-mitotic,Vid_075.mp4
1,Mitotic,Vid_076.mp4
0,Non-mitotic,Vid_077.mp4
1,Mitotic,Vid_078.mp4
0,Non-mitotic,Vid_079.mp4
1,Mitotic,Vid_080.mp4
0,Non-mitotic,Vid_081.mp4
1,Mitotic,Vid_082.mp4
1,Mitotic,Vid_083.mp4
1,Mitotic,Vid_084.mp4
1,Mitotic,Vid_085.mp4
0,Non-mitotic,Vid_086.mp4
0,Non-mitotic,Vid_087.mp4
1,Mitotic,Vid_088.mp4
1,Mitotic,Vid_089.mp4
0,Non-mitotic,Vid_090.mp4
1,Mitotic,Vid_091.mp4
0,Non-mitotic,Vid_092.mp4
1,Mitotic,Vid_093.mp4
1,Mitotic,Vid_094.mp4
0,Non-mitotic,Vid_095.mp4
1,Mitotic,Vid_096.mp4
0,Non-mitotic,Vid_097.mp4
0,Non-mitotic,Vid_098.mp4
1,Mitotic,Vid_099.mp4
1,Mitotic,Vid_100.mp4
1,Mitotic,Vid_101.mp4
1,Mitotic,Vid_102.mp4
1,Mitotic,Vid_103.mp4
1,Mitotic,Vid_104.mp4
1,Mitotic,Vid_105.mp4
1,Mitotic,Vid_106.mp4
1,Mitotic,Vid_107.mp4
1,Mitotic,Vid_108.mp4
1,Mitotic,Vid_109.mp4
1,Mitotic,Vid_110.mp4
0,Non-mitotic,Vid_111.mp4
1,Mitotic,Vid_112.mp4
1,Mitotic,Vid_113.mp4
1,Mitotic,Vid_114.mp4
1,Mitotic,Vid_115.mp4
1,Mitotic,Vid_116.mp4
0,Non-mitotic,Vid_117.mp4
0,Non-mitotic,Vid_118.mp4
1,Mitotic,Vid_119.mp4
0,Non-mitotic,Vid_120.mp4
1,Mitotic,Vid_121.mp4
1,Mitotic,Vid_122.mp4
1,Mitotic,Vid_123.mp4
1,Mitotic,Vid_124.mp4
1,Mitotic,Vid_125.mp4
0,Non-mitotic,Vid_126.mp4
1,Mitotic,Vid_127.mp4
0,Non-mitotic,Vid_128.mp4
0,Non-mitotic,Vid_129.mp4
0,Non-mitotic,Vid_130.mp4
0,Non-mitotic,Vid_131.mp4
1,Mitotic,Vid_132.mp4
1,Mitotic,Vid_133.mp4
1,Mitotic,Vid_134.mp4
1,Mitotic,Vid_135.mp4
1,Mitotic,Vid_136.mp4
1,Mitotic,Vid_137.mp4
1,Mitotic,Vid_138.mp4
0,Non-mitotic,Vid_139.mp4
1,Mitotic,Vid_140.mp4
1,Mitotic,Vid_141.mp4
0,Non-mitotic,Vid_142.mp4
0,Non-mitotic,Vid_143.mp4
0,Non-mitotic,Vid_144.mp4
0,Non-mitotic,Vid_145.mp4
1,Mitotic,Vid_146.mp4
1,Mitotic,Vid_147.mp4
0,Non-mitotic,Vid_148.mp4
1,Mitotic,Vid_149.mp4
0,Non-mitotic,Vid_150.mp4
1,Mitotic,Vid_151.mp4
0,Non-mitotic,Vid_152.mp4
1,Mitotic,Vid_153.mp4
0,Non-mitotic,Vid_154.mp4
1,Mitotic,Vid_155.mp4
1,Mitotic,Vid_156.mp4
1,Mitotic,Vid_157.mp4
0,Non-mitotic,Vid_158.mp4
0,Non-mitotic,Vid_159.mp4
0,Non-mitotic,Vid_160.mp4
0,Non-mitotic,Vid_161.mp4
1,Mitotic,Vid_162.mp4
1,Mitotic,Vid_163.mp4
