label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,16.445006321112515,228.13274336283186,0,215,37,243
2,21.931972789115648,507.5442176870748,0,494,48,523
3,22.779445727482678,574.945727482679,3,561,44,591
4,44.26831148804934,422.9414032382421,15,410,75,437
5,258.54889071487264,755.1544782251437,241,735,279,779
6,304.69627192982455,657.5526315789474,291,636,319,680
7,310.8241965973535,357.1663516068053,293,339,331,378
8,378.6655367231638,205.56497175141243,361,190,399,224
9,409.75182481751824,950.607299270073,389,928,430,974
10,409.574297188755,75.58835341365462,392,57,430,97
11,474.96578366445914,930.4757174392936,458,913,492,951
12,498.74899057873483,559.4919246298789,478,536,523,588
13,529.5597633136094,1084.1905325443788,514,1070,549,1103
14,540.3668831168832,946.530303030303,525,929,558,967
15,547.5779283639883,229.71151984511133,528,215,571,248
16,553.41483198146,1024.380069524913,532,1012,576,1038
17,647.1195379206429,1120.047714716223,618,1099,688,1148
18,636.6961038961039,1183.0012987012988,621,1166,653,1201
19,662.8764547896151,342.0510295434199,645,323,683,364
20,699.9571639586411,1154.2821270310192,683,1142,718,1167
21,746.7894736842105,647.8864265927978,724,632,771,665
22,775.6272727272727,1231.2034965034966,753,1210,801,1255
23,777.0914918414918,1281.6829836829836,754,1259,805,1308
24,800.5586353944562,1372.269722814499,784,1351,818,1392
25,895.6913010007698,564.9684372594303,876,544,916,588
26,986.6454545454545,569.4715909090909,975,547,999,593
27,1007.247645622602,1209.7551447506105,979,1177,1040,1241
28,1024.6273100616017,729.9691991786448,1006,712,1040,748
