label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,235.08288288288287,966.4801801801801,217,948,256,988
2,294.43128390596746,903.8652802893309,278,884,314,928
3,302.4457831325301,850.964859437751,283,836,325,869
4,334.4905933429812,1007.0492040520984,320,991,350,1024
5,365.0122699386503,892.3742331288344,352,869,380,916
6,493.8031914893617,808.0914893617021,476,791,514,828
7,690.1019184652279,598.2973621103117,670,585,711,613
8,711.4751630707476,886.3908680381335,683,860,742,915
9,726.9440476190476,42.69880952380952,712,25,744,61
10,767.9012027491409,900.8204467353952,749,882,790,922
11,788.5320366132723,536.6132723112128,768,524,810,551
12,788.4070612668744,80.23260643821392,770,64,810,99
13,808.274111675127,977.5418781725888,794,958,824,998
14,865.1330097087379,150.1621359223301,849,130,884,173
15,868.5253239104829,429.4946996466431,852,414,884,449
16,907.372175980975,304.4958382877527,887,291,929,319
17,908.1258191349934,481.35124508519004,891,465,926,499
18,966.7599580712788,111.42662473794549,944,99,991,125
